"method","target","itempool_size","replication","rmse","overexposed","utilization_01","utilization_03","utilization_05","uniformity","max_spike","max_spike_1","max_spike_2","max_spike_3","max_spike_4","max_spike_5"
"no-exposure-control","0.25","600",64,0.275928389612918,0.0733333333333333,0.273333333333333,0.246666666666667,0.225,0.492282910660848,1,1,1,1,1,1
"no-exposure-control","0.25","600",65,0.276246780714511,0.0733333333333333,0.273333333333333,0.243333333333333,0.226666666666667,0.49218660493196,1,1,1,1,1,1
"no-exposure-control","0.25","600",66,0.272862038537781,0.0716666666666667,0.273333333333333,0.246666666666667,0.226666666666667,0.492612363143237,1,1,1,1,1,1
"no-exposure-control","0.25","600",67,0.275757383674056,0.075,0.271666666666667,0.248333333333333,0.223333333333333,0.492524301506559,1,1,1,1,1,1
"no-exposure-control","0.25","600",68,0.275141189506629,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.485032708440931,1,1,1,1,1,1
"no-exposure-control","0.25","600",69,0.274619588079093,0.0716666666666667,0.273333333333333,0.246666666666667,0.228333333333333,0.484590328778994,1,1,1,1,1,1
"no-exposure-control","0.25","600",70,0.274700816406745,0.075,0.271666666666667,0.246666666666667,0.226666666666667,0.492435370289324,1,1,1,1,1,1
"no-exposure-control","0.25","600",71,0.275323864740317,0.075,0.273333333333333,0.245,0.225,0.492351988224467,1,1,1,1,1,1
"no-exposure-control","0.25","600",72,0.276736292643401,0.0716666666666667,0.275,0.246666666666667,0.225,0.493223444511307,1,1,1,1,1,1
"no-exposure-control","0.25","600",73,0.275628867975014,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.484789603261499,1,1,1,1,1,1
"no-exposure-control","0.25","600",74,0.275242393317199,0.0733333333333333,0.273333333333333,0.246666666666667,0.226666666666667,0.492419250223315,1,1,1,1,1,1
"no-exposure-control","0.25","600",75,0.270842709911365,0.075,0.273333333333333,0.246666666666667,0.23,0.492551385022968,1,1,1,1,1,1
"no-exposure-control","0.25","600",76,0.272659452674563,0.075,0.273333333333333,0.246666666666667,0.225,0.484601263106386,1,1,1,1,1,1
"no-exposure-control","0.25","600",77,0.277262078317229,0.0733333333333333,0.271666666666667,0.246666666666667,0.228333333333333,0.484114055020426,1,1,1,1,1,1
"no-exposure-control","0.25","600",78,0.275140277074772,0.075,0.271666666666667,0.246666666666667,0.225,0.491214935257268,1,1,1,1,1,1
"no-exposure-control","0.25","600",79,0.276710662927263,0.075,0.273333333333333,0.248333333333333,0.226666666666667,0.48394952526493,1,1,1,1,1,1
